Mult_Handles,Rank,First,MI,Nickname,Last,Suffix,Retired,Service,user_name,user_id,user_description,Professional.nonmil,Professional.mil,Ac_TT,Politician,Private,female,reservist,job,Notes,LI.Handle,Tw.in.LI,Linkedin,Accusation,Reference,
NA,BG,ROY,,,AGUSTIN,,5/1/2019,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/royagustin?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3ByooRcobfSbuQPDiy%2F6mTxQ%3D%3D,,,
NA,LTG,ROBERT,R.,,ALLARDICE,,9/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/bob-allardice-30272328?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BPj2EeFb2SuSNQfkMr8oqTA%3D%3D,,,
NA,BG,RONALD,G.,,ALLEN,,11/1/2020,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/ronald-g-allen?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BBYo7VpsXROmOjn2KXDpxUA%3D%3D,,,
NA,MG,C.,DONALD,,ALSTON,,9/1/2012,Air Force,alstonstrategic,,,0,0,0,0,0,0,0,missile,gender from bio,,,https://www.linkedin.com/in/don-alston-8674055b?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BvobrEMvARTWT9q3CTkHsZA%3D%3D,,,
NA,MG,THOMAS,K.,,ANDERSEN,,1/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/tom-andersen-b4096223?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B9FuawecxQ2m0%2BFj6uKBM2A%3D%3D,,,
NA,MG,MARK,W.,,ANDERSON,,6/24/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mark-anderson-3962a587,,,
NA,LTG,SALVATORE,A.,,ANGELELLA,,8/1/2015,Air Force,SamAngelella,2873476090,,0,0,0,0,0,0,0,pilot,,SamAngelella,y,https://www.linkedin.com/in/sam-angelella-a5a08017?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BPOOz1F9mT5eeJaI4x1JZkg%3D%3D,,,
NA,BG,ANDREW,P.,,ARMACOST,,12/1/2019,Air Force,,,,0,0,0,0,0,,,,,USAFA_Dean,y,https://www.linkedin.com/in/andrewarmacost?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bl57D%2FsxuRiOVhDuL7mDysA%3D%3D,,,
NA,BG,ROBERT,G.,,ARMFIELD,,11/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,STEVEN,J.,,ARQUIETTE,,8/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/stevearquiette?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B6ISuFT69SBus5QB9nL1%2Bfg%3D%3D,,,
NA,BG,ROBERT,S.,,ARTHUR,,9/15/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/bob-arthur-725b5659?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BMQu5rzNpSSamFvt5kucI3Q%3D%3D,,,
NA,LTG,DANA,T.,,ATKINS,,1/1/2012,Air Force,MOAAPrez,174759149,"President of the Military Officers Association of America, advocate for servicemembers and their families. Retired USAF Lt. Gen. Husband, father, & grandfather.",1,0,0,0,0,0,0,pilot,,,,,,,
NA,MG,MARK,A.,,ATKINSON,,10/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mark-atkinson-a804bb95?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BHiYoJeToSeW1UgDbrWxZzw%3D%3D,,,
NA,MG,CHRISTOPHER,P.,,AZZANO,,10/1/2021,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/christopher-azzano-4bca360?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BiWueujboRqunASQFNtAYlQ%3D%3D,,,
NA,BG,DONALD,J.,,BACON,,11/1/2014,Air Force,RepDonBacon,8.19E+17,"Serving the great people of NE-02 ðŸ‡ºðŸ‡¸. Married to Angie, 4 kids, 6 grandkids. Brig Gen â­ï¸ USAF (Ret.) Policy questions? Visit://bacon.house.gov",1,0,0,1,0,0,0,nav,gender from congress website,,,https://www.linkedin.com/in/donbacon?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bb9mjLwm%2FT4CElnFSn6GfqQ%3D%3D,,,
NA,BG,ROBERT,E.,,BAILEY,,6/21/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/robert-bailey-82a7272b?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B7Y8BGn%2F1SqO09rRIjAjq2g%3D%3D,,,
NA,BG,MARK,A.,,BAIRD,,8/31/2019,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mark-baird-b6002256?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bpy%2FcuIhfQB6Evq842%2BJzgw%3D%3D,,,
NA,BG,CRAIG,R.,,BAKER,,7/1/2021,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/craigblutobaker?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bt%2FgmJnZyTYuSkqSA0uzDLw%3D%3D,,,
NA,MG,H.,BRENT,,BAKER,,12/1/2015,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/howard-brent-baker-60991290?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B5KuqLm%2FiShapfIo%2FLRCowA%3D%3D,,,
NA,LTG,JOHN,D.,,BANSEMER,,3/1/2019,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/john-bansemer-bab27922?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BFGbSsQBkSBK4abxcr%2FYnCA%3D%3D,,,
NA,BG,DIETER,E.,,BAREIHS,,12/1/2018,Air Force,DBareihs,3292928318,,0,0,0,0,0,0,0,pilot,,,,https://www.linkedin.com/in/dieterbareihs?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BJvkWKdGVRZ%2B2p8ZuGcDBmQ%3D%3D,,,
NA,BG,JEFFREY,K.,,BARNSON,,3/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,MARK,A.,,BARRETT,,6/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mark-barrett-a6337227?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BUsZKMGpHQtiDUGJLzuAsWg%3D%3D,,,
NA,LTG,BROOKS,L.,,BASH,,8/1/2015,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/brooksbash?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BjN7HsNvsTqOsF6o77han9g%3D%3D,,,
NA,LTG,MICHAEL,J.,,BASLA,,11/1/2014,Air Force,BaslaMichael,1.18E+18,,0,0,0,0,0,0,0,comm,,,,https://www.linkedin.com/in/michael-basla-7a412159?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BgpzArxftSHSb0SXU5iohWw%3D%3D,,,
